"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"1",100,1,-0.9,0,-0.309982839164872,0.0632298005327643,-0.103585442429872
"2",200,1,-0.9,0,-0.328320292638046,-0.238363660106776,-0.223311370262693
"3",500,1,-0.9,0,-0.185533293478891,0.0806236563574554,0.0550320819743608
"4",1100,1,-0.9,0,-0.231828387728723,-0.0162298620003642,-0.0278262968378304
"5",3000,1,-0.9,0,-0.215788743314003,-0.0289750960642705,-0.00611673433690352
"6",8200,1,-0.9,0,-0.198355036268494,0.0133729677239049,0.0126664658462743
"7",100,2,-0.9,0,-0.534308651192752,-0.541853158094373,-0.295371598380003
"8",200,2,-0.9,0,-0.140058426115062,-1.1562303513718,-0.112245807342067
"9",500,2,-0.9,0,-0.166797204620361,0.0729057501825858,0.0578329945301566
"10",1100,2,-0.9,0,-0.148651925088354,0.15689289001557,0.0768115094888313
"11",3000,2,-0.9,0,-0.226088860094271,0.0293853406049887,0.00572793927666315
"12",8200,2,-0.9,0,-0.250928188466019,-0.0210625581873083,-0.0325577020309457
"13",100,3,-0.9,0,-0.395181062289426,0.429757301814863,-0.112939719279524
"14",200,3,-0.9,0,-0.24239420911817,0.118995285111598,-0.0342864880018546
"15",500,3,-0.9,0,-0.298086963132972,-0.0723353104010647,-0.0425749062462601
"16",1100,3,-0.9,0,-0.297229977534251,-0.219414575702539,-0.0127131647093184
"17",3000,3,-0.9,0,-0.169937554071609,0.00803176237292291,0.0594564809649338
"18",8200,3,-0.9,0,-0.233540933857242,0.0102292534843191,-0.015878574062905
"19",100,4,-0.9,0,0.199813103163779,0.309435192571052,0.408460403356893
"20",200,4,-0.9,0,-0.0620597279341037,-0.125295291894297,0.205727489370588
"21",500,4,-0.9,0,-0.291677560916426,-0.110409016072686,-0.0594683908117356
"22",1100,4,-0.9,0,-0.150693278840398,0.0247323137391002,0.0673712930814514
"23",3000,4,-0.9,0,-0.228799812771552,-0.0532568655202803,-0.0263745585901682
"24",8200,4,-0.9,0,-0.202620132038656,0.0387897173423553,0.0109977062400779
"25",100,5,-0.9,0,-0.280871069699794,-0.470094204389065,-0.160334384007435
"26",200,5,-0.9,0,-0.381141182828158,0.0339116371930082,-0.193172151744895
"27",500,5,-0.9,0,-0.133358416211207,-0.241680576027488,0.16130118296065
"28",1100,5,-0.9,0,-0.224931539587687,-0.37933244278888,-0.0554687904155061
"29",3000,5,-0.9,0,-0.183402703515455,0.00892736837311614,0.0312532825356833
"30",8200,5,-0.9,0,-0.230522388272431,0.00580712815839424,-0.0197286968140857
"31",100,6,-0.9,0,-0.265823295249164,-0.669354039138477,-0.242734520709898
"32",200,6,-0.9,0,-0.34618681551962,-0.525442545765335,0.0344800037771318
"33",500,6,-0.9,0,-0.276995381416586,-0.356361002354569,0.0365479825248265
"34",1100,6,-0.9,0,-0.252721260246875,-0.0208797674888882,-0.00953334496809721
"35",3000,6,-0.9,0,-0.216381189507538,-0.0593849800861419,-0.0106674628017218
"36",8200,6,-0.9,0,-0.24335064869239,0.0384085589088146,-0.00981530795746244
"37",100,7,-0.9,0,-0.243930233234368,-0.219065497015641,0.167549729323774
"38",200,7,-0.9,0,-0.192628266689712,0.840497004210516,0.0226830151443997
"39",500,7,-0.9,0,-0.257024363746504,-0.0290094470164216,-0.0235313797858463
"40",1100,7,-0.9,0,-0.230120639070618,0.038348229764112,0.00406092160394511
